setting,eligible_pool_size,selected_capacity,dishonest_fraction,rounds,mean,std,max,min,gini,target_rate,dishonest_mean_rate,honest_mean_rate
insecure_global,80,20,0.1,3000,0.25,0.267073678972676,1.0,0.14133333333333334,0.3470666666666664,1.0,1.0,0.15492957746478872
verified_VRF_final,80,20,0.1,3000,0.25,0.0071443450831176055,0.268,0.23,0.016111666666666663,0.252,0.24941666666666665,0.250037558685446
